senderID,receiverID,amount,transactionType,transactionDate
Minting Level Income,MC1897522,1.9992,Minting Level Income,2025-04-06T00:35:15.867+00:00
Mint Income,MC1897522,24.99,Mint Income,2025-04-06T15:02:59.867+00:00
Mint Income,MC2951876,9.996,Mint Income,2025-04-06T15:03:15.867+00:00
Mint Income,MC2862160,9.996,Mint Income,2025-04-06T15:03:31.867+00:00
Minting Level Income,MC1897522,3.9984,Minting Level Income,2025-04-07T00:38:32.867+00:00
Mint Income,MC1897522,24.99,Mint Income,2025-04-07T07:41:43.867+00:00
Mint Income,MC2951876,9.996,Mint Income,2025-04-07T07:42:06.867+00:00
Mint Income,MC2862160,9.996,Mint Income,2025-04-07T07:42:17.867+00:00
Mint Income,MC1897522,24.99,Mint Income,2025-04-07T22:55:11.867+00:00
Mint Income,MC2951876,9.996,Mint Income,2025-04-07T22:55:48.867+00:00
Mint Income,MC2862160,9.996,Mint Income,2025-04-07T22:56:00.867+00:00
Minting Level Income,MC1897522,1.9992,Minting Level Income,2025-04-08T00:37:37.867+00:00
Mint Income,MC1897522,24.99,Mint Income,2025-04-08T15:03:12.867+00:00
Mint Income,MC2951876,9.996,Mint Income,2025-04-08T15:03:29.867+00:00
Mint Income,MC2862160,9.996,Mint Income,2025-04-08T15:03:44.867+00:00
Minting Level Income,MC1897522,3.9984,Minting Level Income,2025-04-09T00:35:07.867+00:00
Mint Income,MC1897522,24.99,Mint Income,2025-04-09T06:40:47.867+00:00
Mint Income,MC2951876,9.996,Mint Income,2025-04-09T06:41:10.867+00:00
Mint Income,MC2862160,9.996,Mint Income,2025-04-09T06:41:23.867+00:00
Mint Income,MC1897522,24.99,Mint Income,2025-04-09T19:27:57.867+00:00
Mint Income,MC2951876,9.996,Mint Income,2025-04-09T19:28:16.867+00:00
Mint Income,MC2862160,9.996,Mint Income,2025-04-09T19:28:31.867+00:00
Minting Level Income,MC1897522,3.9984,Minting Level Income,2025-04-10T00:37:58.867+00:00
Mint Income,MC1897522,24.99,Mint Income,2025-04-11T04:31:42.867+00:00
Mint Income,MC2951876,9.996,Mint Income,2025-04-11T04:32:09.867+00:00
Mint Income,MC2862160,9.996,Mint Income,2025-04-11T04:32:31.867+00:00
Mint Income,MC1897522,24.99,Mint Income,2025-04-11T22:33:03.867+00:00
Mint Income,MC2951876,9.996,Mint Income,2025-04-11T22:33:33.867+00:00
Mint Income,MC2862160,9.996,Mint Income,2025-04-11T22:33:48.867+00:00
Minting Level Income,MC1897522,1.9992,Minting Level Income,2025-04-12T00:36:53.867+00:00
Mint Income,MC1897522,24.99,Mint Income,2025-04-12T13:18:10.867+00:00
Mint Income,MC2951876,9.996,Mint Income,2025-04-12T13:19:10.867+00:00
Minting Level Income,MC1897522,2.9988,Minting Level Income,2025-04-13T00:38:06.867+00:00
Mint Income,MC1897522,24.99,Mint Income,2025-04-13T02:39:25.867+00:00
Mint Income,MC2951876,9.996,Mint Income,2025-04-13T02:39:41.867+00:00
Mint Income,MC2862160,9.996,Mint Income,2025-04-13T02:40:12.867+00:00
Mint Income,MC1897522,24.99,Mint Income,2025-04-13T15:54:30.867+00:00
Mint Income,MC2951876,9.996,Mint Income,2025-04-13T15:54:46.867+00:00
Mint Income,MC2862160,9.996,Mint Income,2025-04-13T15:54:55.867+00:00
Minting Level Income,MC1897522,3.9984,Minting Level Income,2025-04-14T00:43:33.867+00:00
Mint Income,MC1897522,24.99,Mint Income,2025-04-14T04:14:40.867+00:00
Mint Income,MC2951876,9.996,Mint Income,2025-04-14T04:15:11.867+00:00
Mint Income,MC2862160,9.996,Mint Income,2025-04-14T04:15:21.867+00:00
Mint Income,MC1897522,24.99,Mint Income,2025-04-14T16:55:16.867+00:00
Mint Income,MC2951876,9.996,Mint Income,2025-04-14T16:56:12.867+00:00
Mint Income,MC2862160,9.996,Mint Income,2025-04-14T16:56:42.867+00:00
Minting Level Income,MC1897522,3.9984,Minting Level Income,2025-04-15T02:38:30.867+00:00
Mint Income,MC1897522,24.99,Mint Income,2025-04-15T04:08:50.867+00:00
Mint Income,MC2951876,9.996,Mint Income,2025-04-15T04:09:28.867+00:00
Mint Income,MC2862160,9.996,Mint Income,2025-04-15T04:09:37.867+00:00
Convenience Fee,MC1897522,0,Convenience Fee,2025-04-15T04:18:40.867+00:00
Fund Withdrawal,MC1897522,0,Fund Withdrawal,2025-04-15T04:18:40.867+00:00
Convenience Fee,MC1897522,0,Convenience Fee,2025-04-15T04:20:05.867+00:00
Fund Withdrawal,MC1897522,0,Fund Withdrawal,2025-04-15T04:20:05.867+00:00
Convenience Fee,MC2951876,0,Convenience Fee,2025-04-15T04:20:43.867+00:00
Fund Withdrawal,MC2951876,0,Fund Withdrawal,2025-04-15T04:20:43.867+00:00
Convenience Fee,MC2862160,0,Convenience Fee,2025-04-15T04:21:19.867+00:00
Fund Withdrawal,MC2862160,0,Fund Withdrawal,2025-04-15T04:21:19.867+00:00
Mint Income,MC1897522,24.99,Mint Income,2025-04-15T16:37:58.867+00:00
Mint Income,MC2951876,9.996,Mint Income,2025-04-15T16:38:42.867+00:00
Mint Income,MC2862160,9.996,Mint Income,2025-04-15T16:39:05.867+00:00
Minting Level Income,MC1897522,3.9984,Minting Level Income,2025-04-16T00:34:38.867+00:00
Mint Income,MC1897522,24.99,Mint Income,2025-04-16T04:19:38.867+00:00
Mint Income,MC2951876,9.996,Mint Income,2025-04-16T04:22:15.867+00:00
Mint Income,MC2862160,9.996,Mint Income,2025-04-16T04:22:37.867+00:00
Mint Income,MC6588012,3.332,Mint Income,2025-04-16T10:17:18.867+00:00
Mint Income,MC1897522,24.99,Mint Income,2025-04-16T16:36:02.867+00:00
Mint Income,MC2951876,9.996,Mint Income,2025-04-16T16:36:15.867+00:00
Mint Income,MC2862160,9.996,Mint Income,2025-04-16T16:36:24.867+00:00
Mint Income,MC6588012,3.332,Mint Income,2025-04-16T22:40:46.867+00:00
Minting Level Income,MC1897522,3.9984,Minting Level Income,2025-04-17T00:35:00.867+00:00
Mint Income,MC1897522,24.99,Mint Income,2025-04-17T04:17:25.867+00:00
Mint Income,MC2951876,9.996,Mint Income,2025-04-17T04:18:10.867+00:00
Mint Income,MC2862160,9.996,Mint Income,2025-04-17T04:18:22.867+00:00
Mint Income,MC6588012,3.332,Mint Income,2025-04-17T10:30:12.867+00:00
Mint Income,MC1897522,24.99,Mint Income,2025-04-17T19:24:22.867+00:00
Mint Income,MC2951876,9.996,Mint Income,2025-04-17T19:25:20.867+00:00
Mint Income,MC2862160,9.996,Mint Income,2025-04-17T19:25:35.867+00:00
Mint Income,MC6588012,3.332,Mint Income,2025-04-18T00:22:58.867+00:00
Minting Level Income,MC1897522,3.9984,Minting Level Income,2025-04-18T00:32:10.867+00:00
Fund Transfer,MC6588012,0,Fund Transfer,2025-04-18T06:40:32.867+00:00
Mint Income,MC6588012,3.332,Mint Income,2025-04-18T12:15:33.867+00:00
Mint Income,MC1897522,24.99,Mint Income,2025-04-18T13:36:21.867+00:00
Mint Income,MC2951876,9.996,Mint Income,2025-04-18T13:36:36.867+00:00
Mint Income,MC2862160,9.996,Mint Income,2025-04-18T13:36:53.867+00:00
Minting Level Income,MC1897522,1.9992,Minting Level Income,2025-04-19T00:38:27.867+00:00
Mint Income,MC6588012,3.332,Mint Income,2025-04-19T00:46:26.867+00:00
Mint Income,MC1897522,24.99,Mint Income,2025-04-19T10:59:34.867+00:00
Mint Income,MC2951876,9.996,Mint Income,2025-04-19T10:59:52.867+00:00
Mint Income,MC2862160,9.996,Mint Income,2025-04-19T11:00:12.867+00:00
Reward Income,MC1897522,50,Reward Income,2025-04-19T11:57:28.867+00:00
Mint Income,MC6588012,3.332,Mint Income,2025-04-19T13:03:53.867+00:00
Minting Level Income,MC1897522,1.9992,Minting Level Income,2025-04-20T00:35:10.867+00:00
Mint Income,MC6588012,3.332,Mint Income,2025-04-20T02:43:17.867+00:00
Mint Income,MC8954564,3.6652,Mint Income,2025-04-20T05:01:05.867+00:00
Mint Income,MC1897522,24.99,Mint Income,2025-04-20T08:05:26.867+00:00
Mint Income,MC2951876,9.996,Mint Income,2025-04-20T08:05:54.867+00:00
Mint Income,MC2862160,9.996,Mint Income,2025-04-20T08:06:17.867+00:00
Fund Transfer,MC6588012,0,Fund Transfer,2025-04-20T13:07:37.867+00:00
Mint Income,MC6588012,3.332,Mint Income,2025-04-20T14:14:50.867+00:00
Mint Income,MC8954564,3.6652,Mint Income,2025-04-20T18:07:35.867+00:00
Mint Income,MC1897522,24.99,Mint Income,2025-04-20T20:22:31.867+00:00
Mint Income,MC2951876,9.996,Mint Income,2025-04-20T20:58:19.867+00:00
Mint Income,MC2862160,9.996,Mint Income,2025-04-20T20:58:52.867+00:00
Minting Level Income,MC1897522,1.9992,Minting Level Income,2025-04-21T00:35:57.867+00:00
Mint Income,MC6588012,3.332,Mint Income,2025-04-21T02:53:45.867+00:00
Mint Income,MC1897522,24.99,Mint Income,2025-04-21T08:16:55.867+00:00
Mint Income,MC2951876,9.996,Mint Income,2025-04-21T08:17:54.867+00:00
Mint Income,MC2862160,9.996,Mint Income,2025-04-21T08:18:24.867+00:00
Mint Income,MC8954564,3.6652,Mint Income,2025-04-21T11:46:52.867+00:00
Mint Income,MC6588012,3.332,Mint Income,2025-04-21T14:29:20.867+00:00
Mint Income,MC3565289,8.33,Mint Income,2025-04-21T20:11:32.867+00:00
Mint Income,MC1897522,24.99,Mint Income,2025-04-21T20:54:15.867+00:00
Mint Income,MC2951876,9.996,Mint Income,2025-04-21T20:54:44.867+00:00
Mint Income,MC2862160,9.996,Mint Income,2025-04-21T20:55:19.867+00:00
Minting Level Income,MC1897522,3.9984,Minting Level Income,2025-04-22T00:33:54.867+00:00
Mint Income,MC6588012,3.332,Mint Income,2025-04-22T02:48:35.867+00:00
Mint Income,MC8954564,3.6652,Mint Income,2025-04-22T04:11:55.867+00:00
Mint Income,MC3565289,8.33,Mint Income,2025-04-22T13:49:39.867+00:00
Mint Income,MC6588012,3.332,Mint Income,2025-04-22T14:15:34.867+00:00
Mint Income,MC1897522,24.99,Mint Income,2025-04-22T16:19:20.867+00:00
Mint Income,MC2951876,9.996,Mint Income,2025-04-22T16:19:38.867+00:00
Mint Income,MC2862160,9.996,Mint Income,2025-04-22T16:21:01.867+00:00
Minting Level Income,MC1897522,3.9984,Minting Level Income,2025-04-23T00:51:09.867+00:00
Mint Income,MC3565289,8.33,Mint Income,2025-04-23T01:25:13.867+00:00
Mint Income,MC6588012,3.332,Mint Income,2025-04-23T02:50:11.867+00:00
Mint Income,MC1897522,24.99,Mint Income,2025-04-23T06:29:12.867+00:00
Mint Income,MC2951876,9.996,Mint Income,2025-04-23T06:29:26.867+00:00
Mint Income,MC2862160,9.996,Mint Income,2025-04-23T06:29:37.867+00:00
Mint Income,MC8954564,3.6652,Mint Income,2025-04-23T08:06:37.867+00:00
MC9014956 ,MC8954564,2.5,Direct Income,2025-04-23T12:11:00.867+00:00
Mint Income,MC6588012,3.332,Mint Income,2025-04-23T14:02:18.867+00:00
Mint Income,MC3565289,8.33,Mint Income,2025-04-23T14:24:18.867+00:00
Mint Income,MC1897522,24.99,Mint Income,2025-04-23T19:37:20.867+00:00
Mint Income,MC2951876,9.996,Mint Income,2025-04-23T19:37:38.867+00:00
Mint Income,MC2862160,9.996,Mint Income,2025-04-23T19:37:50.867+00:00
Hyper Binary Income,MC6588012,2.5,Hyper Binary Income,2025-04-24T00:02:51.867+00:00
Mint Income,MC6588012,3.332,Mint Income,2025-04-24T02:25:01.867+00:00
Mint Income,MC8954564,3.6652,Mint Income,2025-04-24T03:33:45.867+00:00
Mint Income,MC9014956,0.2499,Mint Income,2025-04-24T04:37:56.867+00:00
Mint Income,MC1897522,24.99,Mint Income,2025-04-24T08:01:24.867+00:00
Mint Income,MC2951876,9.996,Mint Income,2025-04-24T08:01:43.867+00:00
Mint Income,MC2862160,9.996,Mint Income,2025-04-24T08:01:57.867+00:00
Mint Income,MC3565289,8.33,Mint Income,2025-04-24T11:19:06.867+00:00
Mint Income,MC6588012,3.332,Mint Income,2025-04-24T15:23:09.867+00:00
Mint Income,MC8954564,3.6652,Mint Income,2025-04-24T19:56:42.867+00:00
Mint Income,MC9014956,0.2499,Mint Income,2025-04-24T20:19:15.867+00:00
Mint Income,MC1897522,24.99,Mint Income,2025-04-24T20:35:10.867+00:00
Mint Income,MC2951876,9.996,Mint Income,2025-04-24T20:35:23.867+00:00
Mint Income,MC2862160,9.996,Mint Income,2025-04-24T20:35:44.867+00:00
Mint Income,MC3565289,8.33,Mint Income,2025-04-24T23:34:42.867+00:00
Minting Level Income,MC1897522,4.0058,Minting Level Income,2025-04-25T00:32:51.867+00:00
Minting Level Income,MC2951876,0.0074,Minting Level Income,2025-04-25T00:32:51.867+00:00
Minting Level Income,MC6588012,0.0124,Minting Level Income,2025-04-25T00:32:51.867+00:00
Minting Level Income,MC8954564,0.0249,Minting Level Income,2025-04-25T00:32:51.867+00:00
Mint Income,MC6588012,3.332,Mint Income,2025-04-25T04:00:03.867+00:00
Fund Transfer,MC6588012,0,Fund Transfer,2025-04-25T04:00:54.867+00:00
Mint Income,MC8954564,3.6652,Mint Income,2025-04-25T07:13:23.867+00:00
Mint Income,MC1897522,24.99,Mint Income,2025-04-25T09:12:26.867+00:00
Mint Income,MC2951876,9.996,Mint Income,2025-04-25T09:12:49.867+00:00
Mint Income,MC2862160,9.996,Mint Income,2025-04-25T09:13:01.867+00:00
Convenience Fee,MC1897522,0,Convenience Fee,2025-04-25T10:41:58.867+00:00
Fund Withdrawal,MC1897522,0,Fund Withdrawal,2025-04-25T10:41:58.867+00:00
Convenience Fee,MC2951876,0,Convenience Fee,2025-04-25T10:42:32.867+00:00
Fund Withdrawal,MC2951876,0,Fund Withdrawal,2025-04-25T10:42:32.867+00:00
Convenience Fee,MC2862160,0,Convenience Fee,2025-04-25T10:43:08.867+00:00
Fund Withdrawal,MC2862160,0,Fund Withdrawal,2025-04-25T10:43:08.867+00:00
Mint Income,MC3565289,8.33,Mint Income,2025-04-25T11:16:23.867+00:00
Mint Income,MC9014956,0.2499,Mint Income,2025-04-25T11:27:48.867+00:00
Mint Income,MC6588012,3.332,Mint Income,2025-04-25T16:16:35.867+00:00
Mint Income,MC8954564,3.6652,Mint Income,2025-04-25T19:41:50.867+00:00
Mint Income,MC3565289,8.33,Mint Income,2025-04-25T23:46:46.867+00:00
Minting Level Income,MC1897522,6.0124,Minting Level Income,2025-04-26T00:36:38.867+00:00
Minting Level Income,MC2951876,0.0148,Minting Level Income,2025-04-26T00:36:38.867+00:00
Minting Level Income,MC6588012,0.0248,Minting Level Income,2025-04-26T00:36:38.867+00:00
Minting Level Income,MC8954564,0.0498,Minting Level Income,2025-04-26T00:36:38.867+00:00
Mint Income,MC9014956,0.2499,Mint Income,2025-04-26T05:47:33.867+00:00
Mint Income,MC1897522,24.99,Mint Income,2025-04-26T06:24:37.867+00:00
Mint Income,MC2951876,9.996,Mint Income,2025-04-26T06:24:59.867+00:00
Mint Income,MC2862160,9.996,Mint Income,2025-04-26T06:25:07.867+00:00
Mint Income,MC6588012,3.332,Mint Income,2025-04-26T07:38:10.867+00:00
Mint Income,MC8954564,3.6652,Mint Income,2025-04-26T08:43:07.867+00:00
Mint Income,MC340443,24.99,Mint Income,2025-04-26T10:55:36.867+00:00
Mint Income,MC3565289,8.33,Mint Income,2025-04-26T15:16:20.867+00:00
MC6755591 ,MC9014956,5,Direct Income,2025-04-26T16:18:06.867+00:00
Mint Income,MC9014956,0.2499,Mint Income,2025-04-26T18:25:14.867+00:00
Mint Income,MC6588012,3.332,Mint Income,2025-04-26T19:26:02.867+00:00
Mint Income,MC8954564,3.6652,Mint Income,2025-04-26T20:56:51.867+00:00
Hyper Binary Income,MC340443,5,Hyper Binary Income,2025-04-27T00:00:01.867+00:00
Hyper Binary Income,MC6588012,5,Hyper Binary Income,2025-04-27T00:00:01.867+00:00
Minting Level Income,MC1897522,2.0066,Minting Level Income,2025-04-27T00:32:51.867+00:00
Minting Level Income,MC2951876,0.0074,Minting Level Income,2025-04-27T00:32:51.867+00:00
Minting Level Income,MC340443,3.5035,Minting Level Income,2025-04-27T00:32:51.867+00:00
Minting Level Income,MC6588012,0.0124,Minting Level Income,2025-04-27T00:32:51.867+00:00
Minting Level Income,MC8954564,0.0249,Minting Level Income,2025-04-27T00:32:51.867+00:00
Mint Income,MC9014956,0.2499,Mint Income,2025-04-27T06:20:02.867+00:00
Mint Income,MC1897522,24.99,Mint Income,2025-04-27T07:41:04.867+00:00
Mint Income,MC340443,24.99,Mint Income,2025-04-27T07:41:19.867+00:00
Mint Income,MC2951876,9.996,Mint Income,2025-04-27T07:41:33.867+00:00
Mint Income,MC2862160,9.996,Mint Income,2025-04-27T07:41:47.867+00:00
Mint Income,MC3565289,8.33,Mint Income,2025-04-27T07:49:54.867+00:00
Mint Income,MC6755591,0.2499,Mint Income,2025-04-27T07:56:22.867+00:00
Mint Income,MC6588012,3.332,Mint Income,2025-04-27T08:03:17.867+00:00
Mint Income,MC8954564,3.6652,Mint Income,2025-04-27T08:34:40.867+00:00
Mint Income,MC2609577,0.0417,Mint Income,2025-04-27T19:19:55.867+00:00
Mint Income,MC340443,24.99,Mint Income,2025-04-27T19:26:17.867+00:00
Mint Income,MC1897522,24.99,Mint Income,2025-04-27T19:26:34.867+00:00
Mint Income,MC2951876,9.996,Mint Income,2025-04-27T19:26:48.867+00:00
Mint Income,MC2862160,9.996,Mint Income,2025-04-27T19:26:59.867+00:00
Mint Income,MC9014956,0.2499,Mint Income,2025-04-27T19:49:15.867+00:00
Mint Income,MC6755591,0.2499,Mint Income,2025-04-27T19:56:35.867+00:00
Mint Income,MC8954564,3.6652,Mint Income,2025-04-27T20:03:09.867+00:00
Mint Income,MC3565289,8.33,Mint Income,2025-04-27T21:10:20.867+00:00
Mint Income,MC6588012,3.332,Mint Income,2025-04-27T23:38:21.867+00:00
Minting Level Income,MC1897522,2.0189,Minting Level Income,2025-04-28T00:37:31.867+00:00
Minting Level Income,MC2951876,0.0222,Minting Level Income,2025-04-28T00:37:31.867+00:00
Minting Level Income,MC340443,3.5133,Minting Level Income,2025-04-28T00:37:31.867+00:00
Minting Level Income,MC6588012,0.0322,Minting Level Income,2025-04-28T00:37:31.867+00:00
Minting Level Income,MC8954564,0.0622,Minting Level Income,2025-04-28T00:37:31.867+00:00
Minting Level Income,MC9014956,0.0249,Minting Level Income,2025-04-28T00:37:31.867+00:00
Mint Income,MC6755591,0.2499,Mint Income,2025-04-28T08:01:47.867+00:00
Mint Income,MC8954564,3.6652,Mint Income,2025-04-28T08:07:24.867+00:00
Mint Income,MC3565289,8.33,Mint Income,2025-04-28T09:10:31.867+00:00
Mint Income,MC9014956,0.2499,Mint Income,2025-04-28T09:11:51.867+00:00
Mint Income,MC1897522,24.99,Mint Income,2025-04-28T10:04:07.867+00:00
Mint Income,MC340443,24.99,Mint Income,2025-04-28T10:04:22.867+00:00
Mint Income,MC2951876,9.996,Mint Income,2025-04-28T10:04:34.867+00:00
Mint Income,MC2862160,9.996,Mint Income,2025-04-28T10:04:50.867+00:00
Mint Income,MC6588012,3.332,Mint Income,2025-04-28T11:26:18.867+00:00
Mint Income,MC8954564,3.6652,Mint Income,2025-04-28T20:21:48.867+00:00
Mint Income,MC6755591,0.2499,Mint Income,2025-04-28T22:32:06.867+00:00
Mint Income,MC340443,24.99,Mint Income,2025-04-29T00:15:29.867+00:00
Mint Income,MC1897522,24.99,Mint Income,2025-04-29T00:15:41.867+00:00
Mint Income,MC2951876,9.996,Mint Income,2025-04-29T00:16:30.867+00:00
Mint Income,MC2862160,9.996,Mint Income,2025-04-29T00:18:04.867+00:00
Mint Income,MC6588012,3.332,Mint Income,2025-04-29T00:28:06.867+00:00
Minting Level Income,MC1897522,4.023,Minting Level Income,2025-04-29T00:39:41.867+00:00
Minting Level Income,MC2951876,0.0296,Minting Level Income,2025-04-29T00:39:41.867+00:00
Minting Level Income,MC340443,7.0168,Minting Level Income,2025-04-29T00:39:41.867+00:00
Minting Level Income,MC6588012,0.0396,Minting Level Income,2025-04-29T00:39:41.867+00:00
Minting Level Income,MC8954564,0.0746,Minting Level Income,2025-04-29T00:39:41.867+00:00
Minting Level Income,MC9014956,0.0498,Minting Level Income,2025-04-29T00:39:41.867+00:00
Mint Income,MC9014956,0.2499,Mint Income,2025-04-29T00:58:46.867+00:00
Mint Income,MC3565289,8.33,Mint Income,2025-04-29T11:08:31.867+00:00
Mint Income,MC6755591,0.2499,Mint Income,2025-04-29T11:57:20.867+00:00
Mint Income,MC6588012,3.332,Mint Income,2025-04-29T12:15:10.867+00:00
Mint Income,MC340443,24.99,Mint Income,2025-04-29T13:44:02.867+00:00
Mint Income,MC1897522,24.99,Mint Income,2025-04-29T13:44:35.867+00:00
Mint Income,MC2951876,9.996,Mint Income,2025-04-29T13:45:20.867+00:00
Mint Income,MC2862160,9.996,Mint Income,2025-04-29T13:46:27.867+00:00
Mint Income,MC9014956,0.2499,Mint Income,2025-04-29T13:58:40.867+00:00
Mint Income,MC8954564,3.6652,Mint Income,2025-04-29T15:34:48.867+00:00
Minting Level Income,MC1897522,4.023,Minting Level Income,2025-04-30T00:36:13.867+00:00
Minting Level Income,MC2951876,0.0296,Minting Level Income,2025-04-30T00:36:13.867+00:00
Minting Level Income,MC340443,7.0168,Minting Level Income,2025-04-30T00:36:13.867+00:00
Minting Level Income,MC6588012,0.0396,Minting Level Income,2025-04-30T00:36:13.867+00:00
Minting Level Income,MC8954564,0.0746,Minting Level Income,2025-04-30T00:36:13.867+00:00
Minting Level Income,MC9014956,0.0498,Minting Level Income,2025-04-30T00:36:13.867+00:00
Mint Income,MC3565289,8.33,Mint Income,2025-04-30T00:40:47.867+00:00
Mint Income,MC6588012,3.332,Mint Income,2025-04-30T01:07:22.867+00:00
Mint Income,MC340443,24.99,Mint Income,2025-04-30T03:39:11.867+00:00
Mint Income,MC1897522,24.99,Mint Income,2025-04-30T03:39:25.867+00:00
Mint Income,MC2951876,9.996,Mint Income,2025-04-30T03:39:37.867+00:00
Mint Income,MC2862160,9.996,Mint Income,2025-04-30T03:39:46.867+00:00
Mint Income,MC8954564,3.6652,Mint Income,2025-04-30T05:39:24.867+00:00
Mint Income,MC9014956,0.2499,Mint Income,2025-04-30T05:50:02.867+00:00
Mint Income,MC6755591,0.2499,Mint Income,2025-04-30T07:17:11.867+00:00
Mint Income,MC6588012,3.332,Mint Income,2025-04-30T13:28:48.867+00:00
Mint Income,MC4955784,0.499,Mint Income,2025-04-30T14:20:48.867+00:00
Mint Income,MC3565289,8.33,Mint Income,2025-04-30T14:58:35.867+00:00
Mint Income,MC340443,24.99,Mint Income,2025-04-30T17:11:38.867+00:00
Mint Income,MC9014956,0.2499,Mint Income,2025-04-30T18:28:24.867+00:00
Mint Income,MC6755591,0.2499,Mint Income,2025-04-30T19:17:52.867+00:00
Mint Income,MC8954564,3.6652,Mint Income,2025-04-30T20:28:23.867+00:00
Mint Income,MC5501160,0.499,Mint Income,2025-04-30T21:20:09.867+00:00
Mint Income,MC1587091,0.499,Mint Income,2025-04-30T21:36:44.867+00:00
Minting Level Income,MC1897522,2.0115,Minting Level Income,2025-05-01T00:42:44.867+00:00
Minting Level Income,MC2951876,0.0148,Minting Level Income,2025-05-01T00:42:44.867+00:00
Minting Level Income,MC340443,3.5084,Minting Level Income,2025-05-01T00:42:44.867+00:00
Minting Level Income,MC6588012,0.0198,Minting Level Income,2025-05-01T00:42:44.867+00:00
Minting Level Income,MC8954564,0.0373,Minting Level Income,2025-05-01T00:42:44.867+00:00
Minting Level Income,MC9014956,0.0249,Minting Level Income,2025-05-01T00:42:44.867+00:00
Mint Income,MC9625179,0.0417,Mint Income,2025-05-01T01:21:42.867+00:00
Mint Income,MC6588012,3.332,Mint Income,2025-05-01T01:37:08.867+00:00
Mint Income,MC9014956,0.2499,Mint Income,2025-05-01T06:15:49.867+00:00
Mint Income,MC6755591,0.2499,Mint Income,2025-05-01T07:19:00.867+00:00
Mint Income,MC8954564,3.6652,Mint Income,2025-05-01T08:31:42.867+00:00
Mint Income,MC340443,24.99,Mint Income,2025-05-01T08:33:47.867+00:00
Mint Income,MC1897522,24.99,Mint Income,2025-05-01T08:34:27.867+00:00
Mint Income,MC2951876,9.996,Mint Income,2025-05-01T08:34:38.867+00:00
Mint Income,MC2862160,9.996,Mint Income,2025-05-01T08:34:47.867+00:00
Mint Income,MC5501160,0.499,Mint Income,2025-05-01T12:10:30.867+00:00
Mint Income,MC3565289,8.33,Mint Income,2025-05-01T12:19:25.867+00:00
Mint Income,MC6588012,3.332,Mint Income,2025-05-01T13:01:19.867+00:00
Mint Income,MC6755591,0.2499,Mint Income,2025-05-01T19:19:41.867+00:00
Mint Income,MC9014956,0.2499,Mint Income,2025-05-01T19:58:33.867+00:00
Mint Income,MC8954564,3.6652,Mint Income,2025-05-01T20:40:42.867+00:00
Mint Income,MC340443,24.99,Mint Income,2025-05-02T00:25:34.867+00:00
Mint Income,MC1897522,24.99,Mint Income,2025-05-02T00:25:50.867+00:00
Mint Income,MC2951876,9.996,Mint Income,2025-05-02T00:26:00.867+00:00
Mint Income,MC2862160,9.996,Mint Income,2025-05-02T00:26:24.867+00:00
Minting Level Income,MC1897522,2.0238,Minting Level Income,2025-05-02T00:36:00.867+00:00
Minting Level Income,MC2951876,0.0296,Minting Level Income,2025-05-02T00:36:00.867+00:00
Minting Level Income,MC340443,3.5182,Minting Level Income,2025-05-02T00:36:00.867+00:00
Minting Level Income,MC6588012,0.0396,Minting Level Income,2025-05-02T00:36:00.867+00:00
